"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"9","Setembro","Masculino","Branca","50-59","Sem instrucao","Acima 4 SM","1","349.0"
"9","Setembro","Feminino","Indigena","30-39","Superior incompleto","Ate 1 SM","1","492.0"
"9","Setembro","Masculino","Indigena","60+","Medio completo","2 a 4 SM","1","400.0"
"9","Setembro","Masculino","Amarela","60+","Fundamental incompleto","Acima 4 SM","2","951.0"
"9","Setembro","Masculino","Indigena","60+","Fundamental completo","2 a 4 SM","1","725.0"
"9","Setembro","Feminino","Indigena","30-39","Pos-graduacao","1 a 2 SM","1","365.0"
"10","Outubro","Feminino","Indigena","40-49","Superior incompleto","2 a 4 SM","1","289.0"
"9","Setembro","Feminino","Indigena","60+","Pos-graduacao","Ate 1 SM","1","329.0"
"9","Setembro","Feminino","Indigena","30-39","Superior completo","Ate 1 SM","1","464.0"
"9","Setembro","Masculino",,"30-39","Medio completo","Ate 1 SM","1","682.0"
"9","Setembro","Feminino",,"40-49","Fundamental incompleto","Ate 1 SM","2","590.0"
"11","Novembro","Masculino",,"50-59","Sem instrucao","Sem informacao","1","429.0"
"10","Outubro","Masculino","Indigena","60+","Superior incompleto","Sem informacao","1","330.0"
"10","Outubro","Feminino","Amarela","50-59","Fundamental completo","2 a 4 SM","1","276.0"
"10","Outubro","Masculino",,"30-39","Superior completo","Acima 4 SM","1","604.0"
"9","Setembro","Masculino","Amarela","40-49","Pos-graduacao","2 a 4 SM","2","1042.0"
"9","Setembro","Masculino",,"50-59","Superior completo","2 a 4 SM","1","250.0"
"10","Outubro","Masculino","Amarela","40-49","Sem instrucao","Ate 1 SM","1","2226.0"
"11","Novembro","Masculino",,"18-29","Medio completo","1 a 2 SM","1","357.0"
"10","Outubro","Feminino","Amarela","18-29","Medio incompleto","2 a 4 SM","1","700.0"
"11","Novembro","Feminino","Indigena","30-39","Medio incompleto","1 a 2 SM","2","1148.0"
"11","Novembro","Feminino","Amarela","40-49","Superior incompleto","1 a 2 SM","1","1131.0"
"11","Novembro","Feminino","Amarela","40-49","Superior incompleto","Sem informacao","2","2187.0"
"9","Setembro","Feminino","Indigena","60+","Fundamental incompleto","1 a 2 SM","1","236.0"
"11","Novembro","Masculino","Indigena","60+","Pos-graduacao","Sem informacao","1","179.0"
"9","Setembro","Feminino","Parda","18-29","Sem instrucao","2 a 4 SM","1","875.0"
"9","Setembro","Masculino","Indigena","60+","Sem instrucao","1 a 2 SM","1","257.0"
"10","Outubro","Feminino","Indigena","30-39","Fundamental completo","Acima 4 SM","1","769.0"
"11","Novembro","Feminino","Indigena","50-59","Pos-graduacao","Ate 1 SM","1","151.0"
"11","Novembro","Feminino","Parda","40-49","Medio incompleto","Acima 4 SM","2","376.0"
"11","Novembro","Feminino",,"50-59","Sem instrucao","Ate 1 SM","1","398.0"
"10","Outubro","Feminino","Indigena","50-59","Pos-graduacao","Acima 4 SM","1","143.0"
"11","Novembro","Feminino","Amarela","40-49","Fundamental completo","Ate 1 SM","3","2155.0"
"10","Outubro","Masculino","Amarela","30-39","Medio incompleto","Sem informacao","4","2187.0"
"10","Outubro","Feminino","Indigena","50-59","Superior completo","2 a 4 SM","3","802.0"
"11","Novembro","Feminino",,"30-39","Fundamental incompleto","Sem informacao","1","260.0"
